,loss,conv2d_8_loss,conv2d_8_PSNRLoss,conv2d_8_perceptual_loss,conv2d_8_mean_squared_error
0,185.60028823735126,0.008887205272912979,22.432235717773438,2.6471800804138184,0.008889183402061462
1,86.63511615371587,0.0021593936253339052,26.742136001586914,1.2367403507232666,0.0021595072466880083
2,79.67157225641995,0.001593872089870274,28.04560661315918,1.1374820470809937,0.0015940406592562795
3,75.63794079837817,0.0013572147581726313,28.736316680908203,1.0800138711929321,0.0013571287272498012
4,72.68430005140178,0.0012649541022256017,29.04116439819336,1.0378239154815674,0.0012648757547140121
5,70.58057290079265,0.001243610866367817,29.10955047607422,1.0076570510864258,0.0012437161058187485
6,69.33573170012347,0.001247172593139112,29.093839645385742,0.9900614619255066,0.001247079693712294
7,67.95063357911208,0.0012654737802222371,29.0279483795166,0.9701348543167114,0.001265290193259716
8,67.12442414926873,0.001282268320210278,28.971118927001953,0.9584440588951111,0.0012821806594729424
9,66.33411365935237,0.0012795444345101714,28.980260848999023,0.9472525715827942,0.0012796028750017285
10,65.59830670601846,0.001270941342227161,29.00466537475586,0.9365720748901367,0.0012710168957710266
11,65.1437496362594,0.0012557526351884007,29.056880950927734,0.9300249218940735,0.0012559262104332447
12,64.77009124924932,0.0012450959766283631,29.09282684326172,0.9247496128082275,0.00124505371786654
13,64.17714652341195,0.0012180089252069592,29.188182830810547,0.9164811968803406,0.0012177086900919676
14,63.84788543992352,0.0011945179430767894,29.27616310119629,0.911638617515564,0.0011944788275286555
15,63.66195970661496,0.0011635518167167902,29.386560440063477,0.9089440107345581,0.0011635292321443558
16,63.232368627039236,0.0011429652804508805,29.461444854736328,0.9028580188751221,0.0011429386213421822
17,62.742081042777286,0.0011102191638201475,29.590343475341797,0.8959028124809265,0.0011102301068603992
18,62.6105903700162,0.0010893840808421373,29.673933029174805,0.8939334750175476,0.001089382218196988
19,62.5482235532733,0.0010728063061833382,29.738811492919922,0.8930869698524475,0.001072821905836463
